,Unnamed: 0,median,2ul,ul,dl,2dl,wimp_mass
0,0,7.995542994153477e-13,1.2472098160725793e-12,1.0346458009880903e-12,5.590488732467167e-13,3.992648002871402e-13,0.05
1,1,1.8649074548973076e-13,2.8980141942976975e-13,2.401244270662182e-13,1.3111263381653958e-13,9.118520134155622e-14,0.07
2,2,1.040689745110523e-13,1.6003749353817326e-13,1.3409481070898382e-13,7.287055749231615e-14,5.029935397102348e-14,0.08
3,3,6.242272059479052e-14,9.590111461720577e-14,8.002502408464108e-14,4.419383340975256e-14,3.0903376693075493e-14,0.09
4,4,5.17163184189963e-14,7.877811285039255e-14,6.619130399772294e-14,3.604826682058437e-14,2.498903086968652e-14,0.1
5,5,5.808326921901609e-14,8.849471061036902e-14,7.425906806653188e-14,4.032641940820212e-14,2.787300663988385e-14,0.125
6,6,9.842905586229727e-14,1.509978297459833e-13,1.260975394217476e-13,6.871300189453259e-14,4.737789681308996e-14,0.15
7,7,1.2064338759130914e-13,1.858382334406006e-13,1.5706166759077225e-13,8.528158029593384e-14,5.760650663907759e-14,0.175
8,8,1.0896596597683965e-13,1.6807940284706503e-13,1.410535042843016e-13,7.569958914917305e-14,5.2190667318952944e-14,0.2
9,9,8.20454470453691e-14,1.2732975859038063e-13,1.0614229790579448e-13,5.670144545972279e-14,4.0262465521406294e-14,0.225
10,10,6.573696633418528e-14,1.0074874588457246e-13,8.510834635486338e-14,4.487528191650674e-14,3.1935116992437547e-14,0.25
11,11,5.398010529238558e-14,8.27029802996286e-14,6.957913149450655e-14,3.7177917811272534e-14,2.5997120779625415e-14,0.275
12,12,4.719076952060555e-14,7.28953683707121e-14,6.122350709653426e-14,3.299305955889256e-14,2.3619565075821663e-14,0.3
13,13,4.433136016810666e-14,6.742047167832569e-14,5.6270922743185816e-14,3.128052895628244e-14,2.1884422599310557e-14,0.325
14,14,4.176146184557389e-14,6.361864238003757e-14,5.35428858823748e-14,2.9371130565394436e-14,2.0270761979817265e-14,0.35
15,15,4.022281086397965e-14,6.116586707574846e-14,5.168739601477425e-14,2.7977576826598546e-14,1.9964385173151823e-14,0.375
16,16,3.9416627928125613e-14,6.004104057919505e-14,5.021673876806899e-14,2.792908152560534e-14,1.9650338000751023e-14,0.4
17,17,3.881697526050194e-14,5.897262255495293e-14,4.983747457128663e-14,2.734931342719571e-14,1.936037332832904e-14,0.425
18,18,3.919386331474063e-14,5.990128115295966e-14,5.0328831868556614e-14,2.764300032284052e-14,1.959535336234029e-14,0.45
19,19,4.0548096767911205e-14,6.195862935805355e-14,5.20582697149254e-14,2.837693454547062e-14,2.0336714166732584e-14,0.475
20,20,4.247101248686937e-14,6.564936648097998e-14,5.4698780163258483e-14,2.969632575708048e-14,2.1070115658390026e-14,0.5
21,21,4.47564367349087e-14,7.010472658701409e-14,5.756442899200546e-14,3.099206647248953e-14,2.22618805724387e-14,0.525
22,22,4.71713586733295e-14,7.510876094290555e-14,6.12383737648243e-14,3.2866513495308413e-14,2.3209109899705542e-14,0.55
23,23,5.38023856454238e-14,9.364997263330076e-14,7.127543542542151e-14,3.6771487201457015e-14,2.6038616249276722e-14,0.6
24,24,3.1018423801604704e-14,6.489045274687741e-14,4.307296835170872e-14,2.0928524880962722e-14,1.472232459458187e-14,0.7
